,variant,value
567,variant_a,0.6932
568,variant_a,1.6496
569,variant_a,0.8371
570,variant_a,0.0319
571,variant_a,0.1276
572,variant_a,0.096
573,variant_a,0.0902
574,variant_a,0.1733
575,variant_a,0.0579
576,variant_a,0.0094
577,variant_a,0.0
578,variant_a,0.0
579,variant_a,0.1498
580,variant_a,0.0949
581,variant_a,1.8168
582,variant_a,0.2312
583,variant_a,0.0009
584,variant_a,0.2323
585,variant_a,0.448
586,variant_a,0.0188
587,variant_a,0.0087
588,variant_a,0.0539
589,variant_a,0.0365
590,variant_a,0.02
591,variant_a,0.1345
592,variant_a,0.0093
593,variant_a,0.0371
594,variant_a,0.0805
595,variant_a,0.1138
596,variant_a,0.0367
597,variant_a,0.0
598,variant_a,0.0251
599,variant_a,0.0197
600,variant_a,0.6782
601,variant_a,2.0379
602,variant_a,0.102
603,variant_a,0.0004
604,variant_a,0.0312
605,variant_a,0.0045
606,variant_a,0.0777
607,variant_a,0.2336
608,variant_a,0.0951
609,variant_a,0.7521
610,variant_a,0.4261
611,variant_a,0.0776
612,variant_a,0.2721
613,variant_a,0.0029
614,variant_a,0.4126
615,variant_a,2.2805
616,variant_a,0.0688
617,variant_a,0.0004
618,variant_a,0.0749
619,variant_a,0.3433
620,variant_a,0.1186
621,variant_a,0.0273
622,variant_a,0.1088
623,variant_a,0.021
624,variant_a,0.1093
625,variant_a,0.0394
626,variant_a,0.019
627,variant_a,0.0059
628,variant_a,0.0044
629,variant_a,0.0598
630,variant_a,0.541
631,variant_a,0.1049
632,variant_a,0.0335
633,variant_a,0.6291
634,variant_a,0.0047
635,variant_a,0.0159
636,variant_a,0.0391
637,variant_a,0.0003
638,variant_a,0.0
639,variant_a,0.0003
640,variant_a,0.0
641,variant_a,0.0409
642,variant_a,0.0053
643,variant_a,0.2837
644,variant_a,0.0102
645,variant_a,0.0817
646,variant_a,1.4802
647,variant_a,0.8728
648,variant_a,0.0659
649,variant_a,0.0
650,variant_a,0.0
651,variant_a,0.008
652,variant_a,0.0914
653,variant_a,0.0369
654,variant_a,0.202
655,variant_a,0.1239
656,variant_a,0.0031
657,variant_a,0.0059
658,variant_a,0.0396
659,variant_a,0.0029
660,variant_a,0.1135
661,variant_a,0.0146
662,variant_a,0.004
663,variant_a,0.0548
664,variant_a,0.2345
665,variant_a,0.0037
666,variant_a,0.0888
667,variant_a,0.2436
668,variant_a,0.0104
669,variant_a,0.0
670,variant_a,0.3629
671,variant_a,0.1248
672,variant_a,0.0
673,variant_a,0.7989
674,variant_a,0.0
675,variant_a,0.0
676,variant_a,0.0406
677,variant_a,0.0537
678,variant_a,0.0623
679,variant_a,0.0
680,variant_a,0.4544
681,variant_a,0.2679
682,variant_a,0.0012
683,variant_a,0.004
684,variant_a,0.0501
685,variant_a,0.0031
686,variant_a,2.2425
687,variant_a,0.0155
688,variant_a,0.0532
689,variant_a,0.0522
690,variant_a,0.0474
691,variant_a,0.2227
692,variant_a,0.4241
693,variant_a,0.1277
